,price,type,subtype,constructionYear,condition,room_number,cuisine_type,heatingType,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name
54,595000,apartment,penthouse,2015.0,good,2.0,usa hyper equipped,gas,102,5833.33,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9040911,address real estate
55,150000,apartment,flat studio,1964.0,to renovate,1.0,semi equipped,electric,35,4285.71,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8964641,valdel immo bruxelles
56,165000,apartment,flat studio,1968.0,to be done up,1.0,semi equipped,electric,34,4852.94,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8735530,valdel immo bruxelles
57,369000,apartment,apartment,1950.0,as new,2.0,hyper equipped,fueloil,90,4100.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8964310,latour et petit vente
58,390000,apartment,apartment,1963.0,as new,2.0,hyper equipped,gas,110,3545.45,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8979550,latour et petit vente
59,450000,apartment,apartment,1965.0,as new,2.0,hyper equipped,gas,135,3333.33,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9020341,latour et petit vente
60,485000,apartment,apartment,1930.0,good,3.0,installed,gas,145,3344.83,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8961178,latour et petit vente
61,525000,apartment,apartment,1948.0,to renovate,3.0,not installed,gas,180,2916.67,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8858623,latour et petit vente
62,595000,apartment,apartment,1961.0,as new,3.0,installed,fueloil,170,3500.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8104679,sorimo  - bruxelles
63,620000,apartment,apartment,1958.0,as new,2.0,hyper equipped,fueloil,165,3757.58,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8905429,latour et petit vente
64,640000,apartment,penthouse,1994.0,as new,3.0,hyper equipped,gas,165,3878.79,0.0,False,True,True,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8963947,victoire (vente)
65,730000,apartment,apartment,1958.0,good,2.0,hyper equipped,gas,210,3476.19,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8973966,latour et petit vente
66,750000,apartment,apartment,1894.0,as new,2.0,hyper equipped,gas,200,3750.0,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8996847,oralis real estate
67,795000,apartment,apartment,1930.0,as new,2.0,hyper equipped,gas,153,5196.08,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8966509,james realty
68,850000,apartment,apartment,1970.0,as new,2.0,hyper equipped,gas,136,6250.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8027451,immobilière le lion
69,1250000,apartment,apartment,1934.0,as new,6.0,hyper equipped,fueloil,340,3676.47,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8703028,immo step
70,150000,apartment,flat studio,1930.0,to renovate,1.0,semi equipped,gas,35,4285.71,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9036169,argayon immo
71,725000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,160,4531.25,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9013288,lecobel vaneau vente neuf
72,3370000,apartment,penthouse,2017.0,as new,2.0,hyper equipped,gas,271,12435.42,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8902830,engel &amp; völkers brussels projects - projets neufs
73,410000,apartment,apartment,1927.0,good,2.0,usa hyper equipped,gas,90,4555.56,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9000160,lecobel  vaneau bruxelles sud
74,600000,apartment,apartment,1955.0,just renovated,2.0,usa hyper equipped,gas,160,3750.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8745222,latour et petit vente
75,665000,apartment,penthouse,2005.0,as new,2.0,usa hyper equipped,electric,120,5541.67,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9000496,engel &amp; vÖlkers pavillon d&#039;ixelles
76,625000,apartment,apartment,1958.0,good,2.0,hyper equipped,gas,185,3378.38,2.0,False,True,False,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8917072,lecobel  vaneau bruxelles sud
77,730000,apartment,apartment,1955.0,as new,3.0,hyper equipped,fueloil,166,4397.59,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8927725,noa  real estate
78,750000,apartment,penthouse,1976.0,as new,3.0,usa hyper equipped,gas,170,4411.76,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8976482,oralis real estate
79,800000,apartment,apartment,2001.0,good,3.0,installed,gas,204,3921.57,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8865328,lecobel  vaneau bruxelles sud
80,990000,apartment,apartment,1936.0,just renovated,3.0,not installed,gas,220,4500.0,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8715154,castell management
81,980000,apartment,apartment,1957.0,to be done up,2.0,semi equipped,fueloil,180,5444.44,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8341658,brussels sotheby’s international realty
82,1200000,apartment,apartment,1844.0,as new,3.0,usa installed,gas,216,5555.56,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9000374,brussels sotheby’s  realty - nd
83,1640000,apartment,apartment,1925.0,as new,3.0,hyper equipped,gas,285,5754.39,0.0,True,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8132668,victoire (vente)
84,1800000,apartment,apartment,1930.0,as new,3.0,hyper equipped,gas,339,5309.73,2.0,False,True,True,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8992346,lecobel  vaneau bruxelles sud
85,1645000,apartment,apartment,1905.0,as new,3.0,usa hyper equipped,gas,234,7029.91,2.0,False,True,True,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8717147,brussels sotheby’s international realty
86,2650000,apartment,penthouse,1960.0,as new,4.0,hyper equipped,fueloil,480,5520.83,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,4.0,4.3815707,50.8222854,8930422,immobilière le lion
87,275000,apartment,apartment,2000.0,good,2.0,installed,gas,80,3437.5,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8841000,trevi  group
88,615000,apartment,apartment,2018.0,as new,2.0,usa hyper equipped,gas,131,4694.66,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8975218,lecobel vaneau vente neuf
89,680000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,160,4250.0,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8973162,lecobel vaneau vente neuf
90,630000,apartment,apartment,2018.0,as new,3.0,usa hyper equipped,gas,144,4375.0,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8934029,lecobel vaneau vente neuf
91,545000,apartment,duplex,1920.0,as new,3.0,usa installed,gas,140,3892.86,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9043436,rainbow properties
92,170000,apartment,flat studio,1973.0,good,1.0,semi equipped,gas,30,5666.67,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,9009876,immobilière bien à vous
93,679000,apartment,apartment,1929.0,as new,3.0,hyper equipped,gas,170,3994.12,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8612142,victoire (vente)
94,795000,apartment,duplex,1930.0,as new,2.0,hyper equipped,gas,150,5300.0,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8822609,immobilière le lion
95,850000,apartment,apartment,1970.0,as new,2.0,hyper equipped,gas,136,6250.0,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8889515,lecobel  vaneau bruxelles sud
96,1645000,apartment,apartment,1905.0,as new,3.0,hyper equipped,gas,210,7833.33,0.0,False,True,True,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,8727945,engel &amp; völkers place brugmann
97,1790000,apartment,apartment,1935.0,as new,4.0,installed,gas,300,5966.67,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,2.0,4.3815707,50.8222854,7890191,immobilière le lion
98,950000,apartment,apartment,2006.0,as new,3.0,hyper equipped,gas,239,3974.9,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,22.0,4.3815707,50.8222854,8937458,immobilière le lion
99,1150000,apartment,apartment,1970.0,as new,4.0,hyper equipped,gas,280,4107.14,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8946856,immobilière le lion
100,1575000,apartment,penthouse,1939.0,as new,2.0,usa hyper equipped,gas,161,9782.61,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8890674,brussels sotheby’s international realty
101,260000,apartment,flat studio,1903.0,to be done up,0.0,not installed,gas,60,4333.33,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8846787,lecobel  vaneau bruxelles sud
102,410000,apartment,penthouse,1970.0,as new,2.0,usa hyper equipped,gas,85,4823.53,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8966311,lecobel  vaneau bruxelles sud
103,585000,apartment,apartment,1950.0,as new,1.0,usa hyper equipped,gas,100,5850.0,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8919968,cd properties
104,1200000,apartment,apartment,2020.0,as new,3.0,usa hyper equipped,gas,198,6060.61,0.0,False,False,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9001100,lecobel vaneau vente neuf
105,500000,apartment,duplex,2018.0,as new,2.0,usa hyper equipped,gas,116,4310.34,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9014648,lecobel vaneau vente neuf
106,425000,apartment,apartment,1947.0,to be done up,3.0,installed,fueloil,180,2361.11,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8700150,macnash sud
