,price,constructionYear,room_number,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name,type_is_apartment,type_is_house,subtype_is_apartment,subtype_is_apartment block,subtype_is_bungalow,subtype_is_castle,subtype_is_chalet,subtype_is_country cottage,subtype_is_duplex,subtype_is_exceptional property,subtype_is_farmhouse,subtype_is_flat studio,subtype_is_ground floor,subtype_is_house,subtype_is_loft,subtype_is_manor house,subtype_is_mansion,subtype_is_mixed use building,subtype_is_other property,subtype_is_penthouse,subtype_is_service flat,subtype_is_town house,subtype_is_triplex,subtype_is_villa,cuisine_type_is_hyper equipped,cuisine_type_is_installed,cuisine_type_is_not installed,cuisine_type_is_semi equipped,cuisine_type_is_usa hyper equipped,cuisine_type_is_usa installed,cuisine_type_is_usa semi equipped,cuisine_type_is_usa uninstalled,condition_is_as new,condition_is_good,condition_is_just renovated,condition_is_to be done up,condition_is_to renovate,condition_is_to restore,heatingType_is_carbon,heatingType_is_electric,heatingType_is_fueloil,heatingType_is_gas,heatingType_is_pellet,heatingType_is_solar,heatingType_is_wood
8692,269000,2008.0,4.0,130,2069.23,1.0,False,False,False,8480,Ichtegem,West Flanders,0.0,3.0296222129927,51.08742745,8838992,residentie vastgoed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8693,399000,2018.0,4.0,4,99750.0,0.0,False,False,False,8480,Bekegem,West Flanders,1.0,3.0582322396597004,51.14886485,9040120,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8694,399000,2018.0,4.0,4,99750.0,0.0,False,False,False,8480,Eernegem,West Flanders,1.0,3.023122345129,51.12819605,9040120,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8695,399000,2018.0,4.0,4,99750.0,0.0,False,False,False,8480,Ichtegem,West Flanders,1.0,3.0296222129927,51.08742745,9040120,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8696,329000,1993.0,3.0,3,109666.67,0.0,False,False,False,8480,Bekegem,West Flanders,2.0,3.0582322396597004,51.14886485,8873735,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8697,329000,1993.0,3.0,3,109666.67,0.0,False,False,False,8480,Eernegem,West Flanders,2.0,3.023122345129,51.12819605,8873735,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8698,329000,1993.0,3.0,3,109666.67,0.0,False,False,False,8480,Ichtegem,West Flanders,2.0,3.0296222129927,51.08742745,8873735,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8699,399000,2006.0,3.0,3,133000.0,0.0,False,False,True,8480,Bekegem,West Flanders,1.0,3.0582322396597004,51.14886485,9011344,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8700,399000,2006.0,3.0,3,133000.0,0.0,False,False,True,8480,Eernegem,West Flanders,1.0,3.023122345129,51.12819605,9011344,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8701,399000,2006.0,3.0,3,133000.0,0.0,False,False,True,8480,Ichtegem,West Flanders,1.0,3.0296222129927,51.08742745,9011344,correct vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
